100,0,28,,,kp,ki,kd
100,100.19,20792140,,,,,
100,100.86,20817112,,,,,
100,100.17,20842060,,,,,
100,99.12,20867020,,,,,
100,99.48,20890940,,,,,
100,100.09,20914860,,,,,
100,100.29,20939820,,,,,
100,100.15,20964780,,,,,
100,100.03,20989740,,,,,
100,99.93,21014700,,,,,
100,99.69,21038620,,,,,
100,100.27,21062540,,,,,
100,100.46,21087500,,,,,
100,99.83,21112460,,,,,
100,99.6,21136380,,,,,
100,99.7,21160300,,,,,
100,100.28,21184220,,,,,
100,100.47,21209180,,,,,
100,99.84,21234140,,,,,
100,99.61,21258060,,,,,
100,99.71,21281980,,,,,
100,100.29,21305900,,,,,
100,100.48,21330860,,,,,
100,99.85,21355820,,,,,
100,99.61,21379740,,,,,
100,100.2,21403676,,,,,
100,100.4,21428620,,,,,
100,99.78,21453580,,,,,
100,99.56,21477500,,,,,
100,100.16,21501420,,,,,
100,100.37,21526380,,,,,
100,100.22,21551340,,,,,
100,100.09,21576300,,,,,
100,99.52,21601260,,,,,
100,99.33,21625180,,,,,
100,99.96,21649100,,,,,
100,100.5,21673020,,,,,
100,100.64,21697980,,,,,
100,100.45,21722940,,,,,
100,99.82,21747900,,,,,
100,99.1,21771820,,,,,
100,98.79,21795740,,,,,
100,99.51,21819660,,,,,
100,100.6,21843580,,,,,
100,101.21,21868540,,,,,
100,100.94,21893500,,,,,
100,99.77,21918460,,,,,
100,99.08,21942380,,,,,
100,99.26,21966300,,,,,
100,99.91,21990220,,,,,
100,100.46,22014140,,,,,
100,100.6,22039100,,,,,
100,100.42,22064060,,,,,
100,99.79,22089020,,,,,
100,99.57,22112940,,,,,
100,99.68,22136860,,,,,
100,99.77,22160780,,,,,
